date,EURUSD,NZDUSD,GBPUSD,CADUSD,JPYUSD,gbp_spread,eur_spread,cad_spread,nzd_spread,jpy_spread
2018-10-15,0.8625,1.5263,0.7594,1.2966,111.82,0.378139534883721,0.06677740863787376,0.7973421926910299,0.6644518272425249,-0.019601328903654486
2018-10-16,0.8626,1.5168,0.757,1.2935,112.16,0.3791059602649007,0.059933774834437084,0.7947019867549668,0.6754966887417219,-0.017218543046357615
2018-10-17,0.8666,1.5205,0.7612,1.2985,112.21,0.36348684210526316,0.0506578947368421,0.7927631578947368,0.6710526315789473,-0.017434210526315788
2018-10-18,0.87,1.5249,0.7656,1.3059,112.11,0.3608910891089109,0.04092409240924093,0.7920792079207921,0.6732673267326733,-0.016831683168316833
2018-10-19,0.8686,1.5163,0.7666,1.3101,112.52,0.36118032786885246,0.06098360655737705,0.7868852459016393,0.659016393442623,-0.018032786885245903
2018-10-22,0.8721,1.5267,0.7708,1.3104,112.78,0.3476065573770492,0.05409836065573771,0.7868852459016393,0.6606557377049179,-0.018032786885245903
2018-10-23,0.8711,1.526,0.7703,1.3101,112.12,0.3442857142857143,0.044518272425249174,0.7873754152823921,0.6710963455149502,-0.0186046511627907
2018-10-24,0.878,1.5326,0.7753,1.2994,112.58,0.34193877551020413,0.03877551020408163,0.8095238095238095,0.6802721088435374,-0.021088435374149662
2018-10-25,0.8792,1.533,0.7796,1.3066,112.54,0.33298657718120805,0.04161073825503356,0.8053691275167785,0.6577181208053691,-0.025503355704697986
2018-10-26,0.8781,1.5337,0.7797,1.31,111.65,0.3197594501718213,0.03161512027491409,0.8041237113402061,0.6701030927835051,-0.028178694158075602
2018-10-29,0.878,1.5312,0.7808,1.3129,112.49,0.3258419243986254,0.031958762886597936,0.8006872852233676,0.6597938144329897,-0.029553264604810992
2018-10-30,0.88,1.5239,0.7855,1.3133,112.76,0.3268027210884354,0.03163265306122449,0.8095238095238095,0.6496598639455782,-0.0272108843537415
2018-10-31,0.8825,1.5314,0.7825,1.3129,112.86,0.3346979865771812,0.03154362416107383,0.8120805369127516,0.6510067114093959,-0.026845637583892617
2018-11-01,0.8775,1.5056,0.7708,1.3108,112.79,0.3437837837837838,0.034290540540540544,0.8141891891891893,0.6587837837837838,-0.02668918918918919
2018-11-02,0.8789,1.5026,0.7713,1.3108,113.09,0.34773026315789474,0.03585526315789474,0.8026315789473684,0.6513157894736842,-0.02532894736842105
2018-11-05,0.8777,1.5015,0.768,1.3098,113.22,0.3512541254125413,0.03861386138613862,0.8019801980198021,0.66996699669967,-0.026732673267326736
2018-11-06,0.8763,1.4988,0.7648,1.3132,113.38,0.3567868852459017,0.0419672131147541,0.8032786885245903,0.6688524590163935,-0.025245901639344263
2018-11-07,0.8727,1.4728,0.7608,1.3108,113.32,0.35550488599348534,0.04625407166123778,0.7947882736156352,0.6742671009771987,-0.0247557003257329
2018-11-08,0.876,1.4749,0.7624,1.3115,113.87,0.3641423948220065,0.04854368932038835,0.7961165048543689,0.6957928802588996,-0.02653721682847897
2018-11-09,0.883,1.4848,0.7705,1.323,113.77,0.3489836065573771,0.04098360655737705,0.7967213114754099,0.7311475409836066,-0.02688524590163935
2018-11-12,0.88445,1.4813999999999998,0.76895,1.3226499999999999,113.87,0.33139072847682116,0.03774834437086093,0.7980132450331127,0.728476821192053,-0.026821192052980135
2018-11-13,0.8859,1.478,0.7674,1.3223,113.97,0.35478260869565215,0.03879598662207358,0.7993311036789298,0.7290969899665551,-0.0274247491638796
2018-11-14,0.884,1.4719,0.7686,1.3237,113.7,0.355593220338983,0.03423728813559322,0.7999999999999999,0.7389830508474576,-0.02949152542372881
2018-11-15,0.8831,1.4656,0.7844,1.3193,113.46,0.31044217687074827,0.024149659863945575,0.7857142857142857,0.7414965986394558,-0.029591836734693875
2018-11-16,0.877,1.4575,0.7789,1.3174,112.76,0.3276206896551724,0.02827586206896552,0.7896551724137931,0.7448275862068966,-0.03103448275862069
2018-11-19,0.8735,1.4631,0.7787,1.3187,112.54,0.3178048780487805,0.03170731707317073,0.7944250871080138,0.7456445993031359,-0.03484320557491289
2018-11-20,0.8779,1.4661,0.7807,1.3245,112.66,0.32093750000000004,0.02777777777777778,0.7881944444444445,0.7430555555555556,-0.03333333333333333
2018-11-21,0.8777,1.4622,0.7827,1.3274,113.06,0.3255709342560553,0.028027681660899653,0.7923875432525951,0.7474048442906575,-0.03460207612456748
2018-11-22,0.8801,1.4691999999999998,0.7818499999999999,1.325,112.945,0.3362564991334489,0.02461005199306759,0.7972270363951474,0.7487001733102254,-0.034662045060658585
2018-11-23,0.8825,1.4762,0.781,1.3226,112.83,0.32885416666666667,0.01979166666666667,0.795138888888889,0.7395833333333334,-0.03559027777777778
2018-11-26,0.8821,1.4738,0.7807,1.3237,113.58,0.3352413793103448,0.02344827586206897,0.793103448275862,0.7241379310344828,-0.03620689655172414
2018-11-27,0.8864,1.4756,0.7856,1.3313,113.84,0.3307266435986159,0.020415224913494807,0.7854671280276816,0.726643598615917,-0.03494809688581315
2018-11-28,0.8861,1.4712,0.7833,1.3328,113.96,0.326794425087108,0.01986062717770035,0.7909407665505226,0.7212543554006968,-0.0313588850174216
2018-11-29,0.8786,1.4584,0.7819,1.3278,113.42,0.3209473684210526,0.009122807017543859,0.7824561403508772,0.7228070175438597,-0.03684210526315789
2018-11-30,0.8832,1.4535,0.783,1.3282,113.54,0.3274647887323944,0.006690140845070422,0.7746478873239437,0.7183098591549296,-0.03591549295774648
2018-12-03,0.8806,1.4424,0.7848,1.319,113.54,0.31448763250883394,0.005300353356890459,0.7703180212014135,0.7173144876325087,-0.03745583038869258
2018-12-04,0.8814,1.4413,0.7862,1.3202,112.93,0.3154121863799283,-0.001075268817204301,0.7670250896057348,0.7168458781362007,-0.03978494623655914
2018-12-05,0.8803,1.4479,0.78445,1.33095,112.695,0.3285198555956679,0.0021660649819494585,0.7472924187725631,0.7111913357400722,-0.04007220216606498
2018-12-06,0.8792,1.4545,0.7827,1.3417,112.46,0.3054545454545454,-0.005454545454545454,0.7272727272727273,0.7090909090909091,-0.04581818181818182
2018-12-07,0.878,1.4579,0.7844,1.3302,112.6,0.3214444444444444,0.004814814814814814,0.7407407407407407,0.711111111111111,-0.045925925925925926
2018-12-10,0.8797,1.4539,0.7963,1.3385,112.96,0.2907749077490775,0.014391143911439114,0.7380073800738007,0.7047970479704797,-0.050922509225092255
2018-12-11,0.8839,1.4533,0.7985,1.3408,113.41,0.29465454545454545,0.016727272727272726,0.7345454545454545,0.6981818181818181,-0.047636363636363636
2018-12-12,0.8801,1.4586,0.79,1.3336,113.28,0.3196389891696751,0.019494584837545126,0.7436823104693141,0.7003610108303249,-0.04296028880866426
2018-12-13,0.8804,1.4577,0.7915,1.3349,113.66,0.32570909090909095,0.013454545454545453,0.7563636363636363,0.7090909090909091,-0.042545454545454546
2018-12-14,0.885,1.4693,0.7955,1.3387,113.35,0.3120879120879121,0.005128205128205128,0.7472527472527473,0.7216117216117216,-0.04835164835164835
2018-12-17,0.8819,1.4699,0.7933,1.339,112.96,0.3287360594795539,0.01301115241635688,0.7360594795539034,0.7211895910780669,-0.0516728624535316
2018-12-18,0.88,1.4596,0.7909,1.3466,112.54,0.3457735849056604,0.01169811320754717,0.7320754716981133,0.720754716981132,-0.05660377358490566
2018-12-19,0.8755,1.4594,0.7893,1.3434,112.15,0.34030534351145036,0.009541984732824428,0.7251908396946565,0.7290076335877862,-0.05572519083969465
2018-12-20,0.8747,1.4778,0.7905,1.3515,111.34,0.33011320754716983,0.006792452830188679,0.7245283018867924,0.7056603773584906,-0.05245283018867925
2018-12-21,0.877,1.4868,0.7886,1.357,111.14,0.35098484848484846,0.010984848484848484,0.7424242424242424,0.6893939393939393,-0.04696969696969697
